*Reference,*Manufacturer Part number,*QTY,*Original,Description,Purchase Link
"F1","MF-PSMF035X-2","1","","Resettable Fuses
MF-PSMF035X-2
F0805
LCSC Part Number: C116172
JLCPCB Part Class: Extended Part
Manufactured by BOURNS ",""
"FB1","BLM21PG221SZ1D","1","","Ferrite Beads
BLM21PG221SZ1D
L0805
LCSC Part Number: C437411
JLCPCB Part Class: Extended Part
Manufactured by muRata(村田) ",""
"J1","USB4215-03-A","1","","USB-C (USB TYPE-C) USB 2.0 Receptacle Connector 24 (16+8 Dummy) Position Surface Mount, Right Angle; Through Hole USB Type-C receptacle 16 pin USB2.0

The USB4215-03-A is a USB Type-C receptacle connector designed for USB 2.0 applications. It features a 16-pin configuration supporting reversible plug orientation with standard USB 2.0 differential data lines and configuration channel (CC) pins. The connector is intended for surface-mount PCB assembly with through-hole shell stakes for enhanced mechanical strength. It is widely used in compact embedded systems for power delivery, charging interfaces, and basic data communication.

Key Features
USB Type-C receptacle (USB 2.0 compliant)
16 functional pins (no SuperSpeed support)
Reversible plug orientation
Surface-mount contacts with through-hole shell tabs
Compact, low-profile design
High insertion cycle durability
Suitable for automated assembly
Electrical Characteristics
Rated Current:
VBUS: up to 5.0 A (depending on PCB design and cable)
Signal pins: 0.25 A max
Rated Voltage: 20 V DC max
Contact Resistance: ≤ 40 mΩ
Insulation Resistance: ≥ 100 MΩ
Dielectric Withstanding Voltage: 100 V AC
Mechanical Characteristics
Mounting Type: Surface Mount (SMT) with Through-Hole Shield Tabs
Number of Positions: 16
Mating Cycles: 10,000 cycles (typical)
Insertion Force: 5–20 N
Extraction Force: 8–20 N
Material Specifications
Contacts: Copper Alloy
Contact Plating: Gold over Nickel
Housing: High-temperature thermoplastic (UL94V-0)
Shell: Stainless Steel
Environmental Characteristics
Operating Temperature Range: -25°C to +85°C
Storage Temperature Range: -40°C to +85°C
RoHS Compliant: Yes
Halogen Free: Yes
Pin Configuration (USB 2.0 Type-C)
VBUS (Power)
GND (Ground)
D+ / D− (USB 2.0 differential pair)
CC1 / CC2 (Configuration channel)
SBU pins (optional/unused in USB 2.0 designs)
Applications
USB power input (5 V / USB-C PD trigger designs)
Embedded systems and development boards
Consumer electronics
Charging interfaces
Low-speed USB communication devices
Packaging
Tape & Reel for automated pick-and-place assembly
Compliance & Standards
USB Type-C Specification (USB 2.0 interface)
RoHS / REACH compliant
UL recognized materials

#CommonPartsLibrary #Connector #USB-C",""
"J2, J3","0731000105","2","","BNC Connector Jack, Female Socket 50 Ohms Through Hole, Right Angle Solder #commonpartslibrary
#connector
#bnc
#femalesocket",""
"J4","SSW-120-01-T-S","1","","20 Position Receptacle Connector 0.100"" (2.54mm) Through Hole Tin
The SSW-120-01-T-S is a single-row, 20-position female (receptacle) socket strip with a 2.54 mm (0.1"") pitch, intended for through-hole PCB mounting. It uses Samtec’s Tiger Buy™ contact system, providing reliable electrical performance and durability for repeated mating cycles.
It is commonly used in embedded systems, development boards, and general PCB interconnections, especially where standard 0.1"" headers are required. 
Female header 1x20 2.54mm
Key Features
Standard 2.54 mm Pitch
Industry-standard spacing compatible with most pin headers and prototyping systems
20 Positions, Single Row
Ideal for compact signal connections and header interfaces
Tiger Buy™ Contact System
Provides low insertion force and reliable electrical contact
Available in standard or low insertion force variants
Through-Hole Mounting
Ensures strong mechanical retention and durability on PCBs
Tin-Plated Contacts (T option)
Cost-effective plating suitable for general-purpose applications
High-Speed Capability
Supports signals up to ~8 Gbps, depending on application and layout
Wide Operating Temperature Range
Typically −55 °C to +105 °C, suitable for industrial environments
Material Construction
Contacts: Phosphor bronze
Insulator: High-temperature plastic (e.g., LCP)
Versatile Mating Compatibility
Mates with common Samtec header series (TSW, MTSW, etc.) and standard 0.025"" square posts
#CommonPartsLibrary #Connector #SSW-120",""
"J5","FTSH-107-01-L-DV-K-P-TR","1","","Samtec, FTSH, 14 Way, 2 Row, Vertical Pin Header Connector Header Surface Mount 14 position 0.050"" (1.27mm) #CommonPartsLibrary #Connector #Header #FTSH",""
"LED1","APTD1608CGCK","1","","Green 570nm LED Indication - Discrete 2.1V 0603 (1608 Metric) 

Green LED Chip LED, 1.6 × 0.8 mm SMD Package – APTD1608CGCK is a surface-mount green LED with a water-clear lens, designed for indicator applications. It features a 568 nm dominant wavelength, 20 mA forward current, 2.5 V typical forward voltage, and is housed in a 1608 (0603) package.

#LED #GreenLED #SMDLED #IndicatorLED #Kingbright #APTD1608CGCK
#commonpartslibrary
#optoelectronic
#led
#green",""
"LED2","150060RS75000","1","","Red 0603 SMD LED – Water-clear red chip LED designed for status indication and general-purpose PCB indicator applications. The Würth Elektronik 150060RS75000 uses AlInGaP chip technology, with a 625 nm dominant wavelength, 630 nm peak wavelength, and 140° viewing angle. At 20 mA, it has a typical 2 V forward voltage and 120–250 mcd luminous intensity. The device supports 30 mA continuous forward current, 100 mA peak forward current, and −40°C to +85°C operating temperature.

#WurthElektronik #150060RS75000 #LED #RedLED #0603LED #SMDLED #ChipLED #IndicatorLED #AlInGaP #PCBDesign",""
"LED3","150060YS75000","1","","Yellow 0603 SMD LED – Water-clear yellow chip LED designed for status indication and general-purpose PCB indicator applications. The Würth Elektronik 150060YS75000 uses AlInGaP chip technology, with a 590 nm dominant wavelength, 595 nm peak wavelength, and 140° viewing angle. At 20 mA, it has a typical 2 V forward voltage and 120–250 mcd luminous intensity. The device supports 30 mA continuous forward current, 100 mA peak forward current, and −40°C to +85°C operating temperature.

#WurthElektronik #150060YS75000 #LED #RedLED #0603LED #SMDLED #ChipLED #IndicatorLED #AlInGaP #PCBDesign",""
"LED4","LTST-C190TBKT","1","","Light Emitting Diodes (LED)
LTST-C190TBKT
LED0603-RD
LCSC Part Number: C125096
JLCPCB Part Class: Extended Part
Manufactured by LITEON(光宝) ",""
"Q1","NCE3401","1","","MOSFETs
NCE3401
SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR
LCSC Part Number: C113490
JLCPCB Part Class: Extended Part
Manufactured by NCE(无锡新洁能) ",""
"Q2","2N7002KT1G","1","","MOSFETs
2N7002KT1G
SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR
LCSC Part Number: C116584
JLCPCB Part Class: Extended Part
Manufactured by onsemi(安森美) ",""
"R1, R2","RC0603FR-075K1L","2","N","A generic fixed resistor ideal for rapid circuit topology development. Its footprint automatically adapts based on the selected package case code—supporting 0402, 0603, 0805, 1203, and many other standard SMD packages, as well as axial horizontal and vertical configurations.

Save precious design time by seamlessly add more information to this part (value, footprint, etc.) as it becomes available.

Standard resistor values:
1.0 ohm, 10 ohm, 100 ohm, 1.0k ohm, 10k ohm, 100k ohm, 1.0M ohm
1.1 ohm, 11 ohm, 110 ohm, 1.1k ohm, 11k ohm, 110k ohm, 1.1M ohm
1.2 ohm, 12 ohm, 120 ohm, 1.2k ohm, 12k ohm, 120k ohm, 1.2M ohm
1.3 ohm, 13 ohm, 130 ohm, 1.3k ohm, 13k ohm, 130k ohm, 1.3M ohm
1.5 ohm, 15 ohm, 150 ohm, 1.5k ohm, 15k ohm, 150k ohm, 1.5M ohm
1.6 ohm, 16 ohm, 160 ohm, 1.6k ohm, 16k ohm, 160k ohm, 1.6M ohm
1.8 ohm, 18 ohm, 180 ohm, 1.8K ohm, 18k ohm, 180k ohm, 1.8M ohm
2.0 ohm, 20 ohm, 200 ohm, 2.0k ohm, 20k ohm, 200k ohm, 2.0M ohm
2.2 ohm, 22 ohm, 220 ohm, 2.2k ohm, 22k ohm, 220k ohm, 2.2M ohm
2.4 ohm, 24 ohm, 240 ohm, 2.4k ohm, 24k ohm, 240k ohm, 2.4M ohm
2.7 ohm, 27 ohm, 270 ohm, 2.7k ohm, 27k ohm, 270k ohm, 2.7M ohm
3.0 ohm, 30 ohm, 300 ohm, 3.0K ohm, 30K ohm, 300K ohm, 3.0M ohm
3.3 ohm, 33 ohm, 330 ohm, 3.3k ohm, 33k ohm, 330k ohm, 3.3M ohm
3.6 ohm, 36 ohm, 360 ohm, 3.6k ohm, 36k ohm, 360k ohm, 3.6M ohm
3.9 ohm, 39 ohm, 390 ohm, 3.9k ohm, 39k ohm, 390k ohm, 3.9M ohm
4.3 ohm, 43 ohm, 430 ohm, 4.3k ohm, 43K ohm, 430K ohm, 4.3M ohm
4.7 ohm, 47 ohm, 470 ohm, 4.7k ohm, 47k ohm, 470k ohm, 4.7M ohm
5.1 ohm, 51 ohm, 510 ohm, 5.1k ohm, 51k ohm, 510k ohm, 5.1M ohm
5.6 ohm, 56 ohm, 560 ohm, 5.6k ohm, 56k ohm, 560k ohm, 5.6M ohm
6.2 ohm, 62 ohm, 620 ohm, 6.2k ohm, 62K ohm, 620K ohm, 6.2M ohm
6.8 ohm, 68 ohm, 680 ohm, 6.8k ohm, 68k ohm, 680k ohm, 6.8M ohm
7.5 ohm, 75 ohm, 750 ohm, 7.5k ohm, 75k ohm, 750k ohm, 7.5M ohm
8.2 ohm, 82 ohm, 820 ohm, 8.2k ohm, 82k ohm, 820k ohm, 8.2M ohm
9.1 ohm, 91 ohm, 910 ohm, 9.1k ohm, 91k ohm, 910k ohm, 9.1M ohm

#generics #CommonPartsLibrary",""
"R3, R33","RC0603JR-070RL","2","N","A generic fixed resistor ideal for rapid circuit topology development. Its footprint automatically adapts based on the selected package case code—supporting 0402, 0603, 0805, 1203, and many other standard SMD packages, as well as axial horizontal and vertical configurations.

Save precious design time by seamlessly add more information to this part (value, footprint, etc.) as it becomes available.

Standard resistor values:
1.0 ohm, 10 ohm, 100 ohm, 1.0k ohm, 10k ohm, 100k ohm, 1.0M ohm
1.1 ohm, 11 ohm, 110 ohm, 1.1k ohm, 11k ohm, 110k ohm, 1.1M ohm
1.2 ohm, 12 ohm, 120 ohm, 1.2k ohm, 12k ohm, 120k ohm, 1.2M ohm
1.3 ohm, 13 ohm, 130 ohm, 1.3k ohm, 13k ohm, 130k ohm, 1.3M ohm
1.5 ohm, 15 ohm, 150 ohm, 1.5k ohm, 15k ohm, 150k ohm, 1.5M ohm
1.6 ohm, 16 ohm, 160 ohm, 1.6k ohm, 16k ohm, 160k ohm, 1.6M ohm
1.8 ohm, 18 ohm, 180 ohm, 1.8K ohm, 18k ohm, 180k ohm, 1.8M ohm
2.0 ohm, 20 ohm, 200 ohm, 2.0k ohm, 20k ohm, 200k ohm, 2.0M ohm
2.2 ohm, 22 ohm, 220 ohm, 2.2k ohm, 22k ohm, 220k ohm, 2.2M ohm
2.4 ohm, 24 ohm, 240 ohm, 2.4k ohm, 24k ohm, 240k ohm, 2.4M ohm
2.7 ohm, 27 ohm, 270 ohm, 2.7k ohm, 27k ohm, 270k ohm, 2.7M ohm
3.0 ohm, 30 ohm, 300 ohm, 3.0K ohm, 30K ohm, 300K ohm, 3.0M ohm
3.3 ohm, 33 ohm, 330 ohm, 3.3k ohm, 33k ohm, 330k ohm, 3.3M ohm
3.6 ohm, 36 ohm, 360 ohm, 3.6k ohm, 36k ohm, 360k ohm, 3.6M ohm
3.9 ohm, 39 ohm, 390 ohm, 3.9k ohm, 39k ohm, 390k ohm, 3.9M ohm
4.3 ohm, 43 ohm, 430 ohm, 4.3k ohm, 43K ohm, 430K ohm, 4.3M ohm
4.7 ohm, 47 ohm, 470 ohm, 4.7k ohm, 47k ohm, 470k ohm, 4.7M ohm
5.1 ohm, 51 ohm, 510 ohm, 5.1k ohm, 51k ohm, 510k ohm, 5.1M ohm
5.6 ohm, 56 ohm, 560 ohm, 5.6k ohm, 56k ohm, 560k ohm, 5.6M ohm
6.2 ohm, 62 ohm, 620 ohm, 6.2k ohm, 62K ohm, 620K ohm, 6.2M ohm
6.8 ohm, 68 ohm, 680 ohm, 6.8k ohm, 68k ohm, 680k ohm, 6.8M ohm
7.5 ohm, 75 ohm, 750 ohm, 7.5k ohm, 75k ohm, 750k ohm, 7.5M ohm
8.2 ohm, 82 ohm, 820 ohm, 8.2k ohm, 82k ohm, 820k ohm, 8.2M ohm
9.1 ohm, 91 ohm, 910 ohm, 9.1k ohm, 91k ohm, 910k ohm, 9.1M ohm

#generics #CommonPartsLibrary",""
